version,user_name,date,time,product,is_success,num_files_created,missing_files_found,files_added_to_testng,error_msg,test_analyzed,ng_files_found,non_ng_files_found,total_files_with_descrepancies,total_files_without_descrepancies,passed_tests_with_no_ng_path,passed_tests_found_with_no_change,ng_files_overwritten,files_with_new_descrepencies
1.4,yaels,2024-02-15,14:13:54,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-15,15:31:47,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-15,16:11:05,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-15,16:43:42,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-15,16:50:52,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-15,17:04:30,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-15,17:05:37,Refactor_Tests,True,0,,,,1,1,0,,,,,,
1.4,yaels,2024-02-16,10:27:49,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-16,10:54:30,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-16,11:21:54,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-16,11:28:17,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-16,11:35:17,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-18,09:00:20,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-18,09:18:37,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-18,10:54:08,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-18,10:58:36,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-18,11:10:37,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-18,11:15:35,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-18,11:21:15,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-18,11:30:22,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-18,11:31:06,Refactor_Tests,True,0,,,,1,1,0,,,,,,
1.4,yaels,2024-02-18,11:51:13,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-18,12:01:44,Refactor_Tests,True,1,,,,1,1,0,,,,,,
